compound: 0.9997, neg: 0.076, neu: 0.772, pos: 0.152, 
compound: 0.9281, neg: 0.045, neu: 0.86, pos: 0.095, 
compound: -0.9752, neg: 0.195, neu: 0.68, pos: 0.125, 
compound: 0.9892, neg: 0.038, neu: 0.858, pos: 0.104, 
compound: 0.9912, neg: 0.01, neu: 0.778, pos: 0.212, 
compound: 0.9886, neg: 0.03, neu: 0.765, pos: 0.205, 
compound: 0.9945, neg: 0.065, neu: 0.797, pos: 0.138, 
compound: 0.9815, neg: 0.041, neu: 0.872, pos: 0.087, 
compound: 0.999, neg: 0.012, neu: 0.774, pos: 0.215, 
compound: 0.9098, neg: 0.028, neu: 0.904, pos: 0.067, 
compound: 0.9674, neg: 0.018, neu: 0.838, pos: 0.143, 
compound: 0.9954, neg: 0.026, neu: 0.777, pos: 0.196, 
compound: 0.9784, neg: 0.044, neu: 0.832, pos: 0.124, 
compound: 0.4574, neg: 0.033, neu: 0.927, pos: 0.04, 
compound: 0.9477, neg: 0.023, neu: 0.872, pos: 0.105, 
compound: -0.9116, neg: 0.112, neu: 0.8, pos: 0.088, 
compound: 0.9705, neg: 0.02, neu: 0.857, pos: 0.123, 
compound: 0.802, neg: 0.056, neu: 0.871, pos: 0.073, 
compound: 0.9798, neg: 0.042, neu: 0.778, pos: 0.181, 
compound: 0.9997, neg: 0.013, neu: 0.679, pos: 0.308, 
compound: -0.9015, neg: 0.079, neu: 0.858, pos: 0.063, 
compound: 0.908, neg: 0.023, neu: 0.906, pos: 0.072, 
compound: 0.74, neg: 0.044, neu: 0.883, pos: 0.073, 
compound: -0.9734, neg: 0.105, neu: 0.869, pos: 0.027, 
compound: 0.986, neg: 0.062, neu: 0.837, pos: 0.101, 
compound: 0.1793, neg: 0.077, neu: 0.843, pos: 0.08, 
compound: -0.86, neg: 0.083, neu: 0.849, pos: 0.068, 
compound: 0.9844, neg: 0.022, neu: 0.825, pos: 0.153, 
compound: 0.9941, neg: 0.022, neu: 0.861, pos: 0.118, 
compound: 0.384, neg: 0.064, neu: 0.847, pos: 0.089, 
compound: 0.9979, neg: 0.011, neu: 0.685, pos: 0.303, 
compound: 0.9711, neg: 0.018, neu: 0.884, pos: 0.098, 
compound: -0.6716, neg: 0.087, neu: 0.846, pos: 0.067, 
compound: 0.9387, neg: 0.046, neu: 0.872, pos: 0.082, 
compound: 0.9636, neg: 0.065, neu: 0.777, pos: 0.159, 
compound: 0.9913, neg: 0.005, neu: 0.897, pos: 0.098, 
compound: 0.9183, neg: 0.024, neu: 0.913, pos: 0.063, 
compound: -0.7391, neg: 0.099, neu: 0.832, pos: 0.069, 
compound: 0.9941, neg: 0.028, neu: 0.834, pos: 0.138, 
compound: 0.9861, neg: 0.01, neu: 0.847, pos: 0.143, 
compound: 0.992, neg: 0.03, neu: 0.82, pos: 0.15, 
compound: 0.4116, neg: 0.009, neu: 0.954, pos: 0.037, 
compound: 0.9965, neg: 0.035, neu: 0.706, pos: 0.258, 
compound: 0.9832, neg: 0.04, neu: 0.798, pos: 0.162, 
compound: 0.9959, neg: 0.03, neu: 0.826, pos: 0.144, 
compound: 0.9909, neg: 0.026, neu: 0.81, pos: 0.164, 
compound: 0.6808, neg: 0.0, neu: 0.956, pos: 0.044, 
compound: 0.4576, neg: 0.045, neu: 0.906, pos: 0.049, 
compound: 0.3182, neg: 0.023, neu: 0.94, pos: 0.037, 
compound: 0.9275, neg: 0.095, neu: 0.786, pos: 0.119, 
compound: 0.9796, neg: 0.104, neu: 0.748, pos: 0.148, 
compound: 0.9882, neg: 0.035, neu: 0.828, pos: 0.137, 
compound: 0.835, neg: 0.045, neu: 0.856, pos: 0.098, 
compound: 0.9976, neg: 0.036, neu: 0.577, pos: 0.386, 
compound: 0.4005, neg: 0.08, neu: 0.827, pos: 0.093, 
compound: -0.6038, neg: 0.1, neu: 0.813, pos: 0.087, 
compound: 0.0258, neg: 0.065, neu: 0.845, pos: 0.089, 
compound: 0.9955, neg: 0.005, neu: 0.775, pos: 0.221, 
compound: 0.9974, neg: 0.09, neu: 0.76, pos: 0.15, 
compound: -0.8965, neg: 0.095, neu: 0.862, pos: 0.044, 
compound: 0.5094, neg: 0.053, neu: 0.872, pos: 0.075, 
compound: 0.946, neg: 0.009, neu: 0.889, pos: 0.102, 
compound: 0.9382, neg: 0.017, neu: 0.878, pos: 0.105, 
compound: 0.9958, neg: 0.0, neu: 0.821, pos: 0.179, 
compound: -0.6597, neg: 0.072, neu: 0.877, pos: 0.051, 
compound: 0.9657, neg: 0.021, neu: 0.896, pos: 0.083, 
compound: 0.9657, neg: 0.04, neu: 0.842, pos: 0.117, 
compound: 0.997, neg: 0.023, neu: 0.819, pos: 0.157, 
compound: 0.9921, neg: 0.016, neu: 0.792, pos: 0.192, 
compound: 0.998, neg: 0.043, neu: 0.742, pos: 0.215, 
compound: 0.9978, neg: 0.07, neu: 0.765, pos: 0.165, 
compound: -0.7846, neg: 0.075, neu: 0.882, pos: 0.043, 
compound: 0.9982, neg: 0.006, neu: 0.755, pos: 0.239, 
compound: 0.9468, neg: 0.101, neu: 0.735, pos: 0.164, 
compound: 0.9799, neg: 0.014, neu: 0.85, pos: 0.137, 
compound: 0.9882, neg: 0.063, neu: 0.736, pos: 0.202, 
compound: 0.9948, neg: 0.021, neu: 0.712, pos: 0.267, 
compound: -0.8949, neg: 0.05, neu: 0.924, pos: 0.026, 
compound: 0.9507, neg: 0.043, neu: 0.847, pos: 0.11, 
compound: 0.9578, neg: 0.032, neu: 0.836, pos: 0.132, 
compound: 0.9947, neg: 0.094, neu: 0.698, pos: 0.208, 
compound: 0.9942, neg: 0.014, neu: 0.787, pos: 0.2, 
compound: 0.9451, neg: 0.028, neu: 0.862, pos: 0.11, 
compound: 0.9849, neg: 0.0, neu: 0.859, pos: 0.141, 
compound: -0.4472, neg: 0.09, neu: 0.812, pos: 0.098, 
compound: 0.9959, neg: 0.0, neu: 0.753, pos: 0.247, 
compound: -0.5927, neg: 0.056, neu: 0.925, pos: 0.02, 
compound: 0.9737, neg: 0.081, neu: 0.73, pos: 0.188, 
compound: 0.9601, neg: 0.042, neu: 0.804, pos: 0.155, 
compound: -0.431, neg: 0.042, neu: 0.933, pos: 0.025, 
compound: 0.9814, neg: 0.013, neu: 0.882, pos: 0.104, 
compound: -0.4854, neg: 0.077, neu: 0.848, pos: 0.075, 
compound: 0.9787, neg: 0.059, neu: 0.78, pos: 0.161, 
compound: 0.8547, neg: 0.02, neu: 0.926, pos: 0.054, 
compound: 0.9801, neg: 0.047, neu: 0.782, pos: 0.17, 
compound: 0.8358, neg: 0.015, neu: 0.945, pos: 0.04, 
compound: 0.9992, neg: 0.046, neu: 0.685, pos: 0.269, 
compound: 0.9997, neg: 0.069, neu: 0.779, pos: 0.151, 
compound: 0.999, neg: 0.019, neu: 0.785, pos: 0.196, 
compound: 0.9991, neg: 0.022, neu: 0.744, pos: 0.234, 
compound: 0.9572, neg: 0.081, neu: 0.796, pos: 0.123, 
compound: 0.9996, neg: 0.019, neu: 0.675, pos: 0.306, 
compound: 0.9977, neg: 0.008, neu: 0.827, pos: 0.166, 
compound: 0.7506, neg: 0.011, neu: 0.945, pos: 0.044, 
compound: 0.9854, neg: 0.068, neu: 0.774, pos: 0.158, 
compound: 0.9672, neg: 0.064, neu: 0.783, pos: 0.153, 
compound: 0.703, neg: 0.048, neu: 0.878, pos: 0.073, 
compound: 0.9828, neg: 0.037, neu: 0.865, pos: 0.099, 
compound: 0.9831, neg: 0.045, neu: 0.747, pos: 0.208, 
compound: 0.9228, neg: 0.016, neu: 0.904, pos: 0.08, 
compound: -0.9833, neg: 0.143, neu: 0.805, pos: 0.052, 
compound: 0.9984, neg: 0.053, neu: 0.774, pos: 0.173, 
compound: 0.9993, neg: 0.024, neu: 0.816, pos: 0.16, 
compound: 0.9851, neg: 0.046, neu: 0.837, pos: 0.116, 
compound: 0.9989, neg: 0.016, neu: 0.62, pos: 0.364, 
compound: 0.9936, neg: 0.011, neu: 0.801, pos: 0.188, 
compound: 0.9998, neg: 0.034, neu: 0.649, pos: 0.317, 
compound: 0.9827, neg: 0.07, neu: 0.788, pos: 0.142, 
compound: 0.9918, neg: 0.007, neu: 0.808, pos: 0.184, 
compound: -0.993, neg: 0.119, neu: 0.846, pos: 0.035, 
compound: 0.9623, neg: 0.0, neu: 0.937, pos: 0.063, 
compound: 0.9965, neg: 0.04, neu: 0.723, pos: 0.236, 
compound: -0.9301, neg: 0.088, neu: 0.845, pos: 0.067, 
compound: -0.9186, neg: 0.109, neu: 0.838, pos: 0.054, 
compound: 0.9531, neg: 0.062, neu: 0.78, pos: 0.158, 
compound: -0.9836, neg: 0.182, neu: 0.766, pos: 0.052, 
compound: -0.9835, neg: 0.145, neu: 0.823, pos: 0.032, 
compound: 0.9756, neg: 0.031, neu: 0.829, pos: 0.14, 
compound: 0.9651, neg: 0.025, neu: 0.85, pos: 0.125, 
compound: 0.9702, neg: 0.035, neu: 0.857, pos: 0.108, 
compound: 0.9772, neg: 0.011, neu: 0.876, pos: 0.113, 
POSITIVE:  306
NEGATIVE:  73
NEUTRAL:  7
