compound: 0.9856, neg: 0.057, neu: 0.82, pos: 0.123, 
compound: 0.5574, neg: 0.044, neu: 0.892, pos: 0.064, 
compound: 0.8952, neg: 0.076, neu: 0.794, pos: 0.13, 
compound: 0.755, neg: 0.058, neu: 0.841, pos: 0.1, 
compound: -0.9105, neg: 0.107, neu: 0.85, pos: 0.043, 
compound: 0.9007, neg: 0.082, neu: 0.819, pos: 0.099, 
compound: -0.276, neg: 0.063, neu: 0.878, pos: 0.059, 
compound: 0.5687, neg: 0.059, neu: 0.856, pos: 0.084, 
compound: -0.959, neg: 0.107, neu: 0.818, pos: 0.074, 
compound: 0.9964, neg: 0.052, neu: 0.771, pos: 0.178, 
compound: 0.8931, neg: 0.054, neu: 0.84, pos: 0.105, 
compound: 0.983, neg: 0.032, neu: 0.767, pos: 0.201, 
compound: -0.6978, neg: 0.093, neu: 0.842, pos: 0.064, 
compound: 0.952, neg: 0.06, neu: 0.84, pos: 0.1, 
compound: 0.9986, neg: 0.063, neu: 0.737, pos: 0.2, 
compound: 0.9892, neg: 0.05, neu: 0.827, pos: 0.123, 
compound: 0.8898, neg: 0.044, neu: 0.894, pos: 0.063, 
compound: -0.8873, neg: 0.094, neu: 0.829, pos: 0.077, 
compound: 0.9853, neg: 0.067, neu: 0.828, pos: 0.105, 
compound: 0.9956, neg: 0.035, neu: 0.841, pos: 0.124, 
compound: -0.959, neg: 0.107, neu: 0.819, pos: 0.074, 
compound: 0.8729, neg: 0.048, neu: 0.863, pos: 0.088, 
compound: 0.9869, neg: 0.047, neu: 0.803, pos: 0.15, 
compound: 0.979, neg: 0.011, neu: 0.831, pos: 0.159, 
compound: 0.8329, neg: 0.069, neu: 0.842, pos: 0.089, 
compound: -0.9823, neg: 0.229, neu: 0.758, pos: 0.013, 
compound: 0.9958, neg: 0.031, neu: 0.8, pos: 0.168, 
compound: 0.9692, neg: 0.013, neu: 0.875, pos: 0.112, 
compound: -0.2541, neg: 0.117, neu: 0.779, pos: 0.104, 
compound: 0.8983, neg: 0.077, neu: 0.825, pos: 0.098, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0516, neg: 0.019, neu: 0.96, pos: 0.021, 
compound: 0.955, neg: 0.067, neu: 0.811, pos: 0.122, 
compound: 0.9845, neg: 0.109, neu: 0.727, pos: 0.164, 
compound: 0.9554, neg: 0.054, neu: 0.834, pos: 0.113, 
compound: 0.9554, neg: 0.054, neu: 0.834, pos: 0.112, 
compound: -0.9671, neg: 0.138, neu: 0.772, pos: 0.091, 
compound: 0.9885, neg: 0.008, neu: 0.903, pos: 0.089, 
compound: 0.937, neg: 0.073, neu: 0.82, pos: 0.106, 
compound: -0.1567, neg: 0.1, neu: 0.81, pos: 0.09, 
compound: 0.6059, neg: 0.055, neu: 0.876, pos: 0.07, 
compound: 0.9841, neg: 0.066, neu: 0.752, pos: 0.182, 
compound: 0.9964, neg: 0.049, neu: 0.766, pos: 0.186, 
compound: 0.9862, neg: 0.073, neu: 0.776, pos: 0.151, 
compound: 0.9217, neg: 0.076, neu: 0.819, pos: 0.104, 
compound: 0.9652, neg: 0.0, neu: 0.919, pos: 0.081, 
compound: 0.9928, neg: 0.079, neu: 0.757, pos: 0.164, 
compound: 0.6858, neg: 0.105, neu: 0.775, pos: 0.12, 
compound: -0.9845, neg: 0.108, neu: 0.873, pos: 0.019, 
compound: -0.8621, neg: 0.09, neu: 0.845, pos: 0.065, 
compound: 0.937, neg: 0.073, neu: 0.82, pos: 0.106, 
compound: 0.7159, neg: 0.087, neu: 0.797, pos: 0.116, 
compound: -0.4927, neg: 0.072, neu: 0.875, pos: 0.053, 
compound: 0.8142, neg: 0.055, neu: 0.873, pos: 0.072, 
compound: 0.9743, neg: 0.09, neu: 0.753, pos: 0.157, 
compound: 0.8824, neg: 0.068, neu: 0.834, pos: 0.098, 
compound: 0.8834, neg: 0.02, neu: 0.898, pos: 0.083, 
compound: 0.2023, neg: 0.025, neu: 0.941, pos: 0.034, 
compound: 0.9877, neg: 0.067, neu: 0.774, pos: 0.16, 
compound: -0.9287, neg: 0.106, neu: 0.86, pos: 0.034, 
compound: 0.9898, neg: 0.031, neu: 0.854, pos: 0.115, 
compound: 0.6249, neg: 0.102, neu: 0.772, pos: 0.126, 
compound: -0.0516, neg: 0.121, neu: 0.765, pos: 0.114, 
compound: 0.9501, neg: 0.023, neu: 0.875, pos: 0.102, 
compound: 0.3574, neg: 0.103, neu: 0.785, pos: 0.112, 
compound: 0.9956, neg: 0.038, neu: 0.764, pos: 0.198, 
compound: -0.9358, neg: 0.114, neu: 0.83, pos: 0.056, 
compound: 0.9912, neg: 0.047, neu: 0.79, pos: 0.163, 
compound: 0.7351, neg: 0.071, neu: 0.831, pos: 0.098, 
compound: -0.9902, neg: 0.161, neu: 0.808, pos: 0.031, 
compound: 0.9918, neg: 0.077, neu: 0.799, pos: 0.124, 
compound: 0.9397, neg: 0.065, neu: 0.824, pos: 0.111, 
compound: 0.9413, neg: 0.05, neu: 0.858, pos: 0.092, 
compound: 0.9961, neg: 0.027, neu: 0.808, pos: 0.165, 
compound: 0.9966, neg: 0.041, neu: 0.832, pos: 0.127, 
compound: 0.9948, neg: 0.007, neu: 0.751, pos: 0.242, 
compound: 0.9959, neg: 0.054, neu: 0.732, pos: 0.215, 
compound: 0.9994, neg: 0.076, neu: 0.774, pos: 0.15, 
compound: 0.9844, neg: 0.035, neu: 0.797, pos: 0.168, 
compound: 0.9956, neg: 0.006, neu: 0.855, pos: 0.139, 
compound: 0.9643, neg: 0.0, neu: 0.908, pos: 0.092, 
compound: 0.9854, neg: 0.088, neu: 0.791, pos: 0.121, 
compound: 0.9657, neg: 0.081, neu: 0.799, pos: 0.12, 
compound: -0.987, neg: 0.142, neu: 0.763, pos: 0.095, 
compound: 0.9489, neg: 0.017, neu: 0.917, pos: 0.066, 
compound: 0.9468, neg: 0.028, neu: 0.899, pos: 0.073, 
compound: -0.7269, neg: 0.093, neu: 0.828, pos: 0.079, 
compound: 0.992, neg: 0.06, neu: 0.742, pos: 0.198, 
compound: 0.1297, neg: 0.062, neu: 0.871, pos: 0.067, 
compound: 0.3048, neg: 0.027, neu: 0.938, pos: 0.035, 
compound: 0.9718, neg: 0.098, neu: 0.757, pos: 0.146, 
compound: 0.9767, neg: 0.079, neu: 0.803, pos: 0.118, 
compound: 0.0516, neg: 0.023, neu: 0.953, pos: 0.024, 
compound: 0.9792, neg: 0.079, neu: 0.799, pos: 0.122, 
compound: -0.9124, neg: 0.125, neu: 0.824, pos: 0.05, 
compound: 0.9366, neg: 0.044, neu: 0.829, pos: 0.126, 
compound: 0.996, neg: 0.028, neu: 0.665, pos: 0.307, 
compound: 0.997, neg: 0.028, neu: 0.822, pos: 0.15, 
compound: 0.9737, neg: 0.046, neu: 0.796, pos: 0.158, 
compound: 0.81, neg: 0.034, neu: 0.884, pos: 0.082, 
compound: -0.0772, neg: 0.046, neu: 0.915, pos: 0.039, 
compound: 0.9965, neg: 0.077, neu: 0.767, pos: 0.156, 
compound: 0.9601, neg: 0.118, neu: 0.732, pos: 0.15, 
compound: 0.9956, neg: 0.054, neu: 0.769, pos: 0.177, 
compound: 0.9403, neg: 0.023, neu: 0.889, pos: 0.088, 
compound: 0.993, neg: 0.048, neu: 0.79, pos: 0.162, 
compound: 0.9902, neg: 0.062, neu: 0.781, pos: 0.157, 
compound: 0.9824, neg: 0.065, neu: 0.827, pos: 0.108, 
