compound: 0.9961, neg: 0.049, neu: 0.827, pos: 0.123, 
compound: 0.9793, neg: 0.004, neu: 0.92, pos: 0.076, 
compound: 0.8955, neg: 0.034, neu: 0.898, pos: 0.068, 
compound: 0.9916, neg: 0.017, neu: 0.903, pos: 0.08, 
compound: 0.782, neg: 0.044, neu: 0.89, pos: 0.066, 
compound: 0.9245, neg: 0.076, neu: 0.809, pos: 0.114, 
compound: 0.995, neg: 0.01, neu: 0.889, pos: 0.101, 
compound: -0.8409, neg: 0.065, neu: 0.885, pos: 0.05, 
compound: 0.9619, neg: 0.008, neu: 0.927, pos: 0.065, 
compound: -0.9051, neg: 0.078, neu: 0.881, pos: 0.041, 
compound: 0.8431, neg: 0.031, neu: 0.917, pos: 0.052, 
compound: 0.9652, neg: 0.078, neu: 0.766, pos: 0.156, 
compound: 0.9869, neg: 0.013, neu: 0.841, pos: 0.147, 
compound: 0.9959, neg: 0.009, neu: 0.861, pos: 0.13, 
compound: 0.318, neg: 0.031, neu: 0.929, pos: 0.04, 
compound: -0.8938, neg: 0.11, neu: 0.831, pos: 0.059, 
compound: 0.9489, neg: 0.024, neu: 0.93, pos: 0.046, 
compound: 0.997, neg: 0.033, neu: 0.85, pos: 0.117, 
compound: 0.9917, neg: 0.047, neu: 0.854, pos: 0.1, 
compound: 0.9754, neg: 0.017, neu: 0.921, pos: 0.062, 
compound: 0.9907, neg: 0.0, neu: 0.851, pos: 0.149, 
compound: 0.9163, neg: 0.095, neu: 0.776, pos: 0.129, 
compound: 0.8336, neg: 0.034, neu: 0.912, pos: 0.053, 
compound: -0.8085, neg: 0.086, neu: 0.851, pos: 0.063, 
compound: 0.9161, neg: 0.015, neu: 0.93, pos: 0.055, 
compound: 0.5106, neg: 0.005, neu: 0.977, pos: 0.018, 
compound: -0.6908, neg: 0.041, neu: 0.932, pos: 0.028, 
compound: 0.2653, neg: 0.111, neu: 0.768, pos: 0.12, 
compound: 0.959, neg: 0.026, neu: 0.919, pos: 0.055, 
compound: 0.9893, neg: 0.007, neu: 0.898, pos: 0.095, 
compound: 0.9894, neg: 0.007, neu: 0.919, pos: 0.074, 
compound: 0.9826, neg: 0.007, neu: 0.915, pos: 0.078, 
compound: 0.9786, neg: 0.008, neu: 0.906, pos: 0.086, 
compound: 0.8834, neg: 0.029, neu: 0.901, pos: 0.07, 
compound: 0.8478, neg: 0.048, neu: 0.884, pos: 0.068, 
compound: 0.9929, neg: 0.042, neu: 0.86, pos: 0.098, 
compound: 0.4789, neg: 0.073, neu: 0.847, pos: 0.08, 
compound: 0.9609, neg: 0.008, neu: 0.939, pos: 0.053, 
compound: -0.9797, neg: 0.107, neu: 0.827, pos: 0.066, 
compound: 0.9996, neg: 0.026, neu: 0.787, pos: 0.187, 
compound: 0.9552, neg: 0.013, neu: 0.918, pos: 0.07, 
compound: 0.9932, neg: 0.019, neu: 0.905, pos: 0.076, 
compound: 0.8961, neg: 0.009, neu: 0.957, pos: 0.033, 
compound: -0.9915, neg: 0.149, neu: 0.791, pos: 0.06, 
compound: 0.9308, neg: 0.03, neu: 0.901, pos: 0.069, 
compound: 0.9989, neg: 0.022, neu: 0.843, pos: 0.135, 
compound: 0.9776, neg: 0.0, neu: 0.922, pos: 0.078, 
compound: 0.9982, neg: 0.036, neu: 0.811, pos: 0.153, 
compound: 0.9869, neg: 0.03, neu: 0.869, pos: 0.102, 
