compound: -0.0676, neg: 0.14, neu: 0.726, pos: 0.135, 
compound: 0.97, neg: 0.024, neu: 0.86, pos: 0.115, 
compound: 0.9545, neg: 0.025, neu: 0.837, pos: 0.139, 
compound: 0.0, neg: 0.025, neu: 0.949, pos: 0.025, 
compound: 0.886, neg: 0.03, neu: 0.895, pos: 0.076, 
compound: 0.9725, neg: 0.079, neu: 0.793, pos: 0.128, 
compound: 0.9577, neg: 0.103, neu: 0.763, pos: 0.134, 
compound: 0.8349, neg: 0.048, neu: 0.873, pos: 0.079, 
compound: 0.9877, neg: 0.034, neu: 0.782, pos: 0.184, 
compound: 0.8176, neg: 0.053, neu: 0.863, pos: 0.084, 
compound: 0.9915, neg: 0.029, neu: 0.82, pos: 0.151, 
compound: 0.984, neg: 0.034, neu: 0.811, pos: 0.155, 
compound: 0.5319, neg: 0.026, neu: 0.914, pos: 0.06, 
compound: -0.9586, neg: 0.076, neu: 0.907, pos: 0.016, 
compound: 0.9662, neg: 0.047, neu: 0.857, pos: 0.096, 
compound: -0.2892, neg: 0.089, neu: 0.829, pos: 0.081, 
compound: -0.9001, neg: 0.098, neu: 0.815, pos: 0.086, 
compound: -0.8227, neg: 0.068, neu: 0.894, pos: 0.038, 
compound: -0.9793, neg: 0.135, neu: 0.825, pos: 0.04, 
compound: 0.9719, neg: 0.007, neu: 0.876, pos: 0.117, 
compound: -0.9477, neg: 0.122, neu: 0.814, pos: 0.064, 
compound: 0.9774, neg: 0.059, neu: 0.807, pos: 0.134, 
compound: -0.8536, neg: 0.064, neu: 0.895, pos: 0.041, 
compound: 0.9314, neg: 0.07, neu: 0.815, pos: 0.114, 
compound: -0.7633, neg: 0.1, neu: 0.817, pos: 0.082, 
compound: -0.9632, neg: 0.104, neu: 0.841, pos: 0.055, 
compound: 0.7096, neg: 0.077, neu: 0.828, pos: 0.095, 
compound: -0.8462, neg: 0.086, neu: 0.871, pos: 0.043, 
compound: 0.8861, neg: 0.034, neu: 0.904, pos: 0.061, 
compound: -0.9775, neg: 0.136, neu: 0.795, pos: 0.068, 
compound: 0.9337, neg: 0.049, neu: 0.854, pos: 0.098, 
compound: 0.8769, neg: 0.054, neu: 0.838, pos: 0.109, 
compound: -0.9038, neg: 0.094, neu: 0.839, pos: 0.066, 
compound: -0.8923, neg: 0.069, neu: 0.888, pos: 0.043, 
compound: 0.8174, neg: 0.025, neu: 0.914, pos: 0.061, 
compound: -0.875, neg: 0.126, neu: 0.766, pos: 0.108, 
